REGION,ROLE,SERVER,METRIC,KEY,COUNT,AVG_SEC,PCT
taipei,api,10.22.63.37,SUMMARY,TOTAL,483,-,100.0
taipei,api,10.22.63.37,SUMMARY,5XX,0,-,0.0
taipei,api,10.22.63.37,SUMMARY,503_HEALTH,0,-,0.0
taipei,api,10.22.63.37,SUMMARY,SLOW,0,-,0.0
taipei,api,10.22.63.37,SUMMARY,REDIRECT,0,-,0.0
taipei,api,10.22.63.37,SUMMARY,UNIQUE_IPS,3,-,0.0
taipei,api,10.22.63.37,STATUS,200,480,-,99.4
taipei,api,10.22.63.37,STATUS,204,3,-,0.6
taipei,api,10.22.63.37,ENDPOINT,/health,472,0.06,97.7
taipei,api,10.22.63.37,ENDPOINT,/api/GetLungCancerReportURL,11,0.10,2.3
taipei,api,10.22.63.37,CLIENT_IP,192.168.139.28,472,-,97.7
taipei,api,10.22.63.37,CLIENT_IP,192.168.139.110,6,-,1.2
taipei,api,10.22.63.37,CLIENT_IP,10.22.63.37,5,-,1.0
taipei,app,10.21.3.35,SUMMARY,TOTAL,741,-,100.0
taipei,app,10.21.3.35,SUMMARY,5XX,0,-,0.0
taipei,app,10.21.3.35,SUMMARY,503_HEALTH,0,-,0.0
taipei,app,10.21.3.35,SUMMARY,SLOW,0,-,0.0
taipei,app,10.21.3.35,SUMMARY,REDIRECT,3,-,0.4
taipei,app,10.21.3.35,SUMMARY,UNIQUE_IPS,3,-,0.0
taipei,app,10.21.3.35,STATUS,200,695,-,93.8
taipei,app,10.21.3.35,STATUS,302,3,-,0.4
taipei,app,10.21.3.35,STATUS,304,13,-,1.8
taipei,app,10.21.3.35,STATUS,404,30,-,4.0
taipei,app,10.21.3.35,ENDPOINT,/health,470,0.10,63.4
taipei,app,10.21.3.35,ENDPOINT,/api/NhiPatientImage/studies/{uid}/series/{uid}/...,146,1.03,19.7
taipei,app,10.21.3.35,ENDPOINT,/api/DigestSummary/hospital,67,0.08,9.0
taipei,app,10.21.3.35,ENDPOINT,/api/NhiPatientImage/studies/{uid}/series-uid,15,0.16,2.0
taipei,app,10.21.3.35,ENDPOINT,/api/DigestSummary/key-images,6,0.06,0.8
taipei,app,10.21.3.35,ENDPOINT,/api/registration/get-target-instance,4,0.15,0.5
