REGION	ROLE	SERVER	METRIC	KEY	COUNT	AVG_SEC	PCT
taipei	api	10.22.63.37	SUMMARY	TOTAL	5	-	100.0
taipei	api	10.22.63.37	SUMMARY	SLOW	0	-	0.0
taipei	api	10.22.63.37	SUMMARY	UNIQUE_IPS	1	-	0.0
taipei	api	10.22.63.37	STATUS	200	5	-	100.0
taipei	api	10.22.63.37	ENDPOINT	/api/GetLungCancerReportURL	5	0.02	100.0
taipei	api	10.22.63.37	CLIENT_IP	10.22.63.37	5	-	100.0
taipei	app	10.21.3.35	SUMMARY	TOTAL	117	-	100.0
taipei	app	10.21.3.35	SUMMARY	SLOW	0	-	0.0
taipei	app	10.21.3.35	SUMMARY	UNIQUE_IPS	1	-	0.0
taipei	app	10.21.3.35	STATUS	200	86	-	73.5
taipei	app	10.21.3.35	STATUS	302	1	-	0.9
taipei	app	10.21.3.35	STATUS	404	30	-	25.6
taipei	app	10.21.3.35	ENDPOINT	/api/NhiPatientImage/studies/{uid}/series/{uid}/...	70	1.87	59.8
taipei	app	10.21.3.35	ENDPOINT	/api/DigestSummary/hospital	21	0.21	17.9
taipei	app	10.21.3.35	ENDPOINT	/api/NhiPatientImage/studies/{uid}/series-uid	8	0.14	6.8
taipei	app	10.21.3.35	ENDPOINT	/api/DigestSummary/key-images	4	0.03	3.4
taipei	app	10.21.3.35	ENDPOINT	/api/registration/get-target-instance	2	0.19	1.7
taipei	app	10.21.3.35	ENDPOINT	/api/digestsummary	2	0.63	1.7
taipei	app	10.21.3.35	ENDPOINT	/vite.svg	1	0.00	0.9
taipei	app	10.21.3.35	ENDPOINT	/reports/view	1	4.18	0.9
taipei	app	10.21.3.35	ENDPOINT	/assets/react-vendor-CWOlZk79.js	1	0.01	0.9
taipei	app	10.21.3.35	ENDPOINT	/assets/openjpegwasm_decode-C4nnCcr6.wasm	1	0.01	0.9
taipei	app	10.21.3.35	CLIENT_IP	192.168.139.119	117	-	100.0
taipei	app	10.21.3.36	SUMMARY	TOTAL	209	-	100.0
taipei	app	10.21.3.36	SUMMARY	SLOW	0	-	0.0
taipei	app	10.21.3.36	SUMMARY	UNIQUE_IPS	1	-	0.0
taipei	app	10.21.3.36	STATUS	200	154	-	73.7
taipei	app	10.21.3.36	STATUS	302	2	-	1.0
taipei	app	10.21.3.36	STATUS	304	13	-	6.2
taipei	app	10.21.3.36	STATUS	404	40	-	19.1
taipei	app	10.21.3.36	ENDPOINT	/api/NhiPatientImage/studies/{uid}/series/{uid}/...	128	1.49	61.2
taipei	app	10.21.3.36	ENDPOINT	/api/DigestSummary/hospital	38	0.19	18.2
taipei	app	10.21.3.36	ENDPOINT	/api/NhiPatientImage/studies/{uid}/series-uid	14	0.11	6.7
taipei	app	10.21.3.36	ENDPOINT	/api/registration/get-target-instance	4	0.11	1.9
taipei	app	10.21.3.36	ENDPOINT	/api/DigestSummary/key-images	4	0.08	1.9
taipei	app	10.21.3.36	ENDPOINT	/assets/openjpegwasm_decode-C4nnCcr6.wasm	3	0.41	1.4
taipei	app	10.21.3.36	ENDPOINT	/reports/view	2	0.29	1.0
taipei	app	10.21.3.36	ENDPOINT	/assets/react-vendor-CWOlZk79.js	2	0.02	1.0
taipei	app	10.21.3.36	ENDPOINT	/assets/index-Cj5Ra9vo.css	2	0.02	1.0
taipei	app	10.21.3.36	ENDPOINT	/assets/index-BhWnmaLL.js	2	0.03	1.0
taipei	app	10.21.3.36	CLIENT_IP	192.168.139.119	209	-	100.0
taichung	api	10.1.73.37	SUMMARY	TOTAL	6	-	100.0
taichung	api	10.1.73.37	SUMMARY	SLOW	0	-	0.0
taichung	api	10.1.73.37	SUMMARY	UNIQUE_IPS	1	-	0.0
taichung	api	10.1.73.37	STATUS	200	6	-	100.0
taichung	api	10.1.73.37	ENDPOINT	/api/GetLungCancerReportURL	6	0.19	100.0
taichung	api	10.1.73.37	CLIENT_IP	10.1.73.37	6	-	100.0
taichung	app	10.1.72.35	SUMMARY	TOTAL	88	-	100.0
taichung	app	10.1.72.35	SUMMARY	SLOW	1	-	1.1
taichung	app	10.1.72.35	SUMMARY	UNIQUE_IPS	1	-	0.0
taichung	app	10.1.72.35	STATUS	200	86	-	97.7
taichung	app	10.1.72.35	STATUS	302	2	-	2.3
taichung	app	10.1.72.35	ENDPOINT	/api/DigestSummary/hospital	33	0.08	37.5
taichung	app	10.1.72.35	ENDPOINT	/api/NhiPatientImage/studies/{uid}/series/{uid}/...	30	0.60	34.1
taichung	app	10.1.72.35	ENDPOINT	/api/NhiPatientImage/studies/{uid}/series-uid	8	0.25	9.1
taichung	app	10.1.72.35	ENDPOINT	/api/DigestSummary/key-images	3	0.12	3.4
taichung	app	10.1.72.35	ENDPOINT	/reports/view	2	4.90	2.3
taichung	app	10.1.72.35	ENDPOINT	/api/registration/get-target-instance	2	0.17	2.3
taichung	app	10.1.72.35	ENDPOINT	/api/digestsummary	2	2.11	2.3
taichung	app	10.1.72.35	ENDPOINT	/assets/react-vendor-CWOlZk79.js	1	0.02	1.1
taichung	app	10.1.72.35	ENDPOINT	/assets/lossless-BDvWhinS.js	1	0.01	1.1
taichung	app	10.1.72.35	ENDPOINT	/assets/index-Cj5Ra9vo.css	1	0.02	1.1
taichung	app	10.1.72.35	CLIENT_IP	192.168.139.119	88	-	100.0
taichung	app	10.1.72.36	SUMMARY	TOTAL	298	-	100.0
taichung	app	10.1.72.36	SUMMARY	SLOW	1	-	0.3
taichung	app	10.1.72.36	SUMMARY	UNIQUE_IPS	1	-	0.0
taichung	app	10.1.72.36	STATUS	200	294	-	98.7
taichung	app	10.1.72.36	STATUS	302	4	-	1.3
taichung	app	10.1.72.36	ENDPOINT	/api/NhiPatientImage/studies/{uid}/series/{uid}/...	139	0.32	46.6
taichung	app	10.1.72.36	ENDPOINT	/api/DigestSummary/hospital	66	0.57	22.1
taichung	app	10.1.72.36	ENDPOINT	/api/NhiPatientImage/studies/{uid}/series-uid	30	0.20	10.1
taichung	app	10.1.72.36	ENDPOINT	/assets/decodeImageFrameWorker-Be17YydA.js	12	0.02	4.0
taichung	app	10.1.72.36	ENDPOINT	/api/registration/get-target-instance	9	0.21	3.0
taichung	app	10.1.72.36	ENDPOINT	/api/DigestSummary/key-images	7	0.47	2.3
taichung	app	10.1.72.36	ENDPOINT	/vite.svg	5	0.01	1.7
taichung	app	10.1.72.36	ENDPOINT	/reports/view	4	2.95	1.3
taichung	app	10.1.72.36	ENDPOINT	/api/digestsummary	4	1.62	1.3
taichung	app	10.1.72.36	ENDPOINT	/assets/react-vendor-CWOlZk79.js	3	0.02	1.0
taichung	app	10.1.72.36	CLIENT_IP	192.168.139.119	298	-	100.0
